linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.0937996,1777986733.0935185
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.1938632,1777986733.1935635
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.2939978,1777986733.2936926
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.3939276,1777986733.3936055
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.493894,1777986733.4936247
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.5938146,1777986733.593579
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.6940541,1777986733.6937504
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.7938993,1777986733.7936063
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.893837,1777986733.8936195
0.0,0.0,0.0,0.0,0.0,0.0,1777986733.9937074,1777986733.9934406
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.0940487,1777986734.0937488
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.1938844,1777986734.1936078
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.2939463,1777986734.2936401
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.3938057,1777986734.3936288
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.4939108,1777986734.4935737
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.594059,1777986734.5937443
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.6941695,1777986734.6937227
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.7940977,1777986734.7938185
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.8939102,1777986734.8936262
0.0,0.0,0.0,0.0,0.0,0.0,1777986734.9941385,1777986734.9937174
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.0938568,1777986735.0935757
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.1935678,1777986735.1934352
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.2940602,1777986735.2937315
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.3940125,1777986735.393734
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.4938166,1777986735.493576
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.593954,1777986735.5936382
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.6939304,1777986735.693644
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.7939134,1777986735.7936766
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.8938224,1777986735.8935606
0.0,0.0,0.0,0.0,0.0,0.0,1777986735.9938753,1777986735.993614
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.0938628,1777986736.0935798
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.193954,1777986736.193687
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.2938352,1777986736.293524
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.393877,1777986736.3935876
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.494035,1777986736.4937584
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.5938098,1777986736.5935657
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.6938977,1777986736.6935833
0.0,0.0,0.0,0.0,0.0,0.0,1777986736.7940903,1777986736.7936752
