desired_linear_vel_x,desired_angular_vel_z,log_time,timestamp
0.0,-0.4,1777986680.5821521,1777986680.5818586
0.0,-0.4,1777986680.682609,1777986680.6823032
0.0,-0.4,1777986680.7831318,1777986680.7827828
0.0,-0.4,1777986680.8835795,1777986680.883293
0.0,-0.4,1777986680.9841244,1777986680.9838014
0.0,-0.4,1777986681.0845237,1777986681.0842493
0.0,-0.4,1777986681.1849267,1777986681.1846783
0.0,0.0,1777986681.2143602,1777986681.214188
0.0,0.0,1777986681.3150494,1777986681.314696
0.0,0.0,1777986681.415567,1777986681.4152226
0.0,0.0,1777986681.5162663,1777986681.5159476
0.005,0.0,1777986681.6084597,1777986681.60817
0.01,0.0,1777986681.7090106,1777986681.7087102
0.015,0.0,1777986681.7826338,1777986681.7823586
0.02,0.0,1777986681.8832362,1777986681.8828685
0.02,0.0,1777986681.9835055,1777986681.9833415
0.025,0.0,1777986681.9890156,1777986681.988768
0.03,0.0,1777986682.0894966,1777986682.0892272
0.03,0.0,1777986682.190072,1777986682.1897178
0.034999999999999996,0.0,1777986682.1936023,1777986682.1933212
0.039999999999999994,0.0,1777986682.293953,1777986682.2937636
0.04499999999999999,0.0,1777986682.384295,1777986682.384098
0.04999999999999999,0.0,1777986682.484851,1777986682.4845645
0.05,0.0,1777986682.585395,1777986682.585108
0.05,0.0,1777986682.6860301,1777986682.6857684
0.05,0.0,1777986682.7868137,1777986682.7864163
0.055,0.0,1777986682.8802516,1777986682.8799155
0.06,0.0,1777986682.980803,1777986682.9805331
0.065,0.0,1777986683.0480807,1777986683.0478377
0.07,0.0,1777986683.1485777,1777986683.148283
0.07500000000000001,0.0,1777986683.2478251,1777986683.2474983
0.08,0.0,1777986683.3483412,1777986683.3480194
0.08,0.0,1777986683.448846,1777986683.448561
0.08,0.0,1777986683.5493348,1777986683.5489955
0.08,0.0,1777986683.6497436,1777986683.649446
0.08,0.0,1777986683.7500446,1777986683.749865
0.08,0.0,1777986683.8505807,1777986683.8503036
0.08,0.0,1777986683.9511433,1777986683.950848
0.08,0.0,1777986684.0518246,1777986684.0514364
0.08,0.0,1777986684.1523695,1777986684.152058
0.08,0.0,1777986684.193422,1777986684.1931667
0.08,0.0,1777986684.293933,1777986684.293671
0.08,0.0,1777986684.3943565,1777986684.3940656
0.08,0.0,1777986684.4946914,1777986684.4944742
0.08,0.0,1777986684.5952022,1777986684.5949144
0.08,0.0,1777986684.695804,1777986684.6954713
0.08,0.0,1777986684.7961955,1777986684.795929
0.08,0.0,1777986684.8968067,1777986684.896464
0.085,0.0,1777986684.972859,1777986684.9725394
0.09,0.0,1777986685.0731375,1777986685.0729568
0.09,0.0,1777986685.173668,1777986685.1733878
0.09,0.0,1777986685.274367,1777986685.273985
0.09,0.0,1777986685.374826,1777986685.374583
0.09,0.0,1777986685.4753494,1777986685.475042
0.09,0.0,1777986685.5759974,1777986685.5756373
0.09,0.0,1777986685.6765254,1777986685.6762414
0.09,0.0,1777986685.777104,1777986685.776844
0.09,0.0,1777986685.8775172,1777986685.8772707
0.09,0.0,1777986685.9781668,1777986685.9777622
0.09,0.0,1777986686.0786161,1777986686.0784388
0.09,0.0,1777986686.179146,1777986686.1788878
0.09,0.0,1777986686.279768,1777986686.2793946
0.09,0.0,1777986686.3801265,1777986686.379873
0.09,0.0,1777986686.4806223,1777986686.4803305
0.09,0.0,1777986686.5811505,1777986686.5808663
0.09,0.0,1777986686.6818244,1777986686.6813338
0.09,0.0,1777986686.7820976,1777986686.7818806
0.09,0.0,1777986686.882742,1777986686.8824213
0.09,0.0,1777986686.9830928,1777986686.9828527
0.09,0.0,1777986687.0835788,1777986687.0832784
0.09,0.0,1777986687.183908,1777986687.183674
0.09,0.0,1777986687.2844684,1777986687.284144
0.09,0.0,1777986687.3849554,1777986687.3847263
0.09,0.0,1777986687.4069228,1777986687.4067326
0.09,0.0,1777986687.5073836,1777986687.5070775
0.09,0.0,1777986687.607879,1777986687.607582
0.09,0.0,1777986687.708374,1777986687.7080278
0.09,0.0,1777986687.8091948,1777986687.8087053
0.0,0.0,1777986687.8570173,1777986687.8567834
0.0,0.0,1777986687.957572,1777986687.957292
0.0,0.0,1777986688.0581334,1777986688.0578458
0.0,0.0,1777986688.1584845,1777986688.1582837
0.0,0.0,1777986688.192917,1777986688.1926768
0.0,0.0,1777986688.2934144,1777986688.2930982
0.0,0.0,1777986688.3939564,1777986688.3937032
-0.005,0.0,1777986688.3998344,1777986688.3995378
-0.01,0.0,1777986688.500285,1777986688.4999769
-0.01,0.0,1777986688.600959,1777986688.6005077
-0.01,0.0,1777986688.7014115,1777986688.7010665
-0.01,0.0,1777986688.8019657,1777986688.8016257
-0.015,0.0,1777986688.9013445,1777986688.901067
-0.02,0.0,1777986688.9308577,1777986688.9305975
-0.025,0.0,1777986688.9620337,1777986688.961756
-0.030000000000000002,0.0,1777986688.992528,1777986688.9923089
