wheel_left_joint_position,wheel_left_joint_velocity,wheel_right_joint_position,wheel_right_joint_velocity,log_time,timestamp
481.940014656,0.07201441423897346,475.198168161,0.06964031267065567,1777986935.1547308,1777986935.043456
481.987568067,0.07201441423897346,475.244187591,0.06964031267065567,1777986935.161613,1777986935.062545
481.987568067,0.07438851580729128,475.244187591,0.07201441423897346,1777986935.1956065,1777986935.0684295
482.03665545900003,0.07438851580729128,475.28867304,0.07201441423897346,1777986935.2160456,1777986935.0850902
482.08420887,0.07438851580729128,475.336226451,0.07201441423897346,1777986935.2206705,1777986935.1024127
482.08420887,0.07438851580729128,475.336226451,0.07280578142841274,1777986935.2206914,1777986935.106538
482.133296262,0.07438851580729128,475.383779862,0.07280578142841274,1777986935.2225664,1777986935.123346
482.133296262,0.07676261737560909,475.383779862,0.07597125018616982,1777986935.2294402,1777986935.1277099
482.182383654,0.07676261737560909,475.434401235,0.07597125018616982,1777986935.2356877,1777986935.1450226
482.182383654,0.0815108205122447,475.434401235,0.07992808613336616,1777986935.251196,1777986935.1495018
482.23760697,0.0815108205122447,475.485022608,0.07992808613336616,1777986935.2564785,1777986935.1680286
482.23760697,0.0838849220805625,475.485022608,0.0815108205122447,1777986935.2766495,1777986935.1850822
482.289762324,0.08467628927000177,475.537177962,0.0815108205122447,1777986935.3164165,1777986935.1903665
482.343451659,0.08467628927000177,475.587799335,0.0815108205122447,1777986935.3164256,1777986935.207293
482.343451659,0.08625902364888031,475.587799335,0.08309355489112323,1777986935.3190687,1777986935.2117379
482.40020895600003,0.08625902364888031,475.643022651,0.08309355489112323,1777986935.3205614,1777986935.2277439
482.40020895600003,0.08784175802775886,475.643022651,0.08705039083831959,1777986935.3372817,1777986935.2330494
482.456966253,0.08784175802775886,475.699779948,0.08705039083831959,1777986935.3387327,1777986935.2490363
482.456966253,0.08705039083831959,475.699779948,0.08863312521719811,1777986935.3794081,1777986935.2671678
482.509121607,0.08705039083831959,475.756537245,0.08863312521719811,1777986935.3794186,1777986935.273683
482.509121607,0.08705039083831959,475.756537245,0.08546765645944104,1777986935.383266,1777986935.2896707
482.565878904,0.08705039083831959,475.811760561,0.08546765645944104,1777986935.391866,1777986935.2942185
482.565878904,0.08784175802775886,475.811760561,0.08625902364888031,1777986935.397457,1777986935.2985513
482.622636201,0.08784175802775886,475.866983877,0.08625902364888031,1777986935.403916,1777986935.3114207
482.622636201,0.09021585959607666,475.866983877,0.09021585959607666,1777986935.417932,1777986935.3169124
482.680927479,0.09021585959607666,475.92680913600003,0.09021585959607666,1777986935.421785,1777986935.3327231
482.680927479,0.0917985939749552,475.92680913600003,0.09258996116439447,1777986935.4388554,1777986935.3384006
482.739218757,0.0917985939749552,475.983566433,0.09258996116439447,1777986935.4487536,1777986935.3562412
482.739218757,0.09021585959607666,475.983566433,0.09021585959607666,1777986935.465054,1777986935.3617153
482.797510035,0.09021585959607666,476.041857711,0.09021585959607666,1777986935.4697738,1777986935.3767133
482.797510035,0.09100722678551593,476.041857711,0.09021585959607666,1777986935.4830546,1777986935.3830414
482.858869275,0.09100722678551593,476.10168297,0.09021585959607666,1777986935.4845314,1777986935.3960664
482.858869275,0.09258996116439447,476.10168297,0.094172695543273,1777986935.5014274,1777986935.4003568
482.915626572,0.09258996116439447,476.161508229,0.094172695543273,1777986935.506811,1777986935.4173017
482.915626572,0.09338132835383373,476.161508229,0.09575542992215154,1777986935.5219781,1777986935.4217246
482.976985812,0.09338132835383373,476.221333488,0.09575542992215154,1777986935.5266767,1777986935.4374588
482.976985812,0.09654679711159081,476.221333488,0.09733816430103008,1777986935.5505872,1777986935.4431784
483.039879033,0.09654679711159081,476.284226709,0.09733816430103008,1777986935.5511072,1777986935.461068
483.039879033,0.09654679711159081,476.284226709,0.09812953149046935,1777986935.5638053,1777986935.466478
483.101238273,0.09654679711159081,476.345585949,0.09812953149046935,1777986935.5729094,1777986935.4834154
483.101238273,0.094172695543273,476.345585949,0.09812953149046935,1777986935.5859513,1777986935.4877756
483.161063532,0.094172695543273,476.411547132,0.09812953149046935,1777986935.5906048,1777986935.5018725
483.161063532,0.094172695543273,476.411547132,0.09733816430103008,1777986935.613877,1777986935.5063372
483.222422772,0.094172695543273,476.474440353,0.09733816430103008,1777986935.616029,1777986935.5219796
483.222422772,0.09892089867990861,476.474440353,0.09971226586934788,1777986935.6272202,1777986935.526419
483.286849974,0.09892089867990861,476.538867555,0.09971226586934788,1777986935.6317532,1777986935.5432734
483.286849974,0.10050363305878715,476.538867555,0.10208636743766569,1777986935.6499124,1777986935.5477006
483.354345138,0.10050363305878715,476.603294757,0.10208636743766569,1777986935.6600108,1777986935.5666225
483.354345138,0.10050363305878715,476.603294757,0.10525183619542276,1777986935.6754372,1777986935.5722737
483.420306321,0.10050363305878715,476.66925594,0.10525183619542276,1777986935.6763642,1777986935.584797
483.420306321,0.10366910181654423,476.66925594,0.10525183619542276,1777986935.6941996,1777986935.6049898
483.486267504,0.1068345705743013,476.735217123,0.10525183619542276,1777986935.7314615,1777986935.610427
483.553762668,0.1068345705743013,476.802712287,0.10525183619542276,1777986935.7314758,1777986935.6282241
483.553762668,0.10446046900598349,476.802712287,0.10525183619542276,1777986935.7419262,1777986935.631704
483.624325794,0.10446046900598349,476.871741432,0.10525183619542276,1777986935.7602625,1777986935.647467
483.624325794,0.10525183619542276,476.871741432,0.10525183619542276,1777986935.7805655,1777986935.6528165
